Wavelength,Work,label,0.727581795
686.97,14.16695,-1,0.701328156
550.08,13.19501,-1,0.925734581
776.68,46.18567,1,0.491291082
726.26,43.97796,-1,0.940830704
648.23,18.69341,1,0.106649547
567.19,14.07179,-1,0.778670114
856.6,46.5596,1,0.012366757
885.06,52.38548,-1,0.592128999
1039.81,46.41616,1,0.477667774
624.35,14.05146,-1,0.951652997
984.62,39.53058,1,0.244838519
832.5,45.92146,1,0.139372422
803.61,46.74093,1,0.516763871
559.11,13.81287,-1,0.381970905
1032.55,40.80942,-1,0.284167493
1018.5,44.12062,1,0.353409668
510.7,7.9618,-1,0.669828288
763.22,45.26983,1,0.618660211
914.51,50.01027,-1,0.961834363
531.09,10.08722,-1,0.904277479
799.28,45.73257,1,0.842836733
500.76,6.98574,-1,0.829777523
851.3,50.3912,-1,0.685237244
556.73,12.93576,-1,0.864862
1011.72,46.5738,1,0.851523082
782.93,44.98935,1,0.803656323
910.16,49.01858,-1,0.418691269
842.62,51.80628,-1,0.090944149
859.01,48.85956,-1,0.020611568
897.13,48.85141,-1,0.597968666
723.86,42.76215,-1,0.194296822
843.58,47.20888,1,0.521597471
846.47,50.40808,-1,0.411975466
904.85,46.73562,1,0.760272407
531.57,10.06705,-1,0.658232739
900.51,49.83893,-1,0.62247405
657.31,18.51385,1,0.829327593
802.17,46.52715,1,0.977908161
664.48,12.57476,-1,0.510040572
633.42,21.07538,1,0.40170474
524.45,14.45791,1,0.48198246
988.97,40.22456,-1,0.718526117
1042.23,46.67299,1,0.467024666
532.52,15.48411,1,0.363504056
883.61,50.07305,-1,0.30893485
603.37,19.99848,1,0.029022421
719.07,39.54809,-1,0.481537931
926.11,48.97659,-1,0.917955968
774.27,49.04365,-1,0.132167951
951.24,38.7646,-1,0.042535266
596.22,14.21333,-1,0.865195566
802.65,50.44342,-1,0.859995841
863.35,46.75808,1,0.621741515
783.89,49.58976,-1,0.300869973
645.84,19.76309,1,0.174071999
708.04,32.69935,-1,0.029166646
697.5,22.61582,-1,0.52543564
672.61,17.80372,1,0.931759471
755.06,47.64653,-1,0.730766446
709.96,34.05049,-1,0.974730248
532.99,11.71907,-1,0.647086121
578.13,13.92321,-1,0.341541506
847.44,46.44404,1,0.92820719
781,49.06475,-1,0.465852488
889.4,48.49838,1,0.73938123
529.67,9.26226,-1,0.32269736
1000.59,43.46982,1,0.369390015
963.81,36.37841,-1,0.355187862
1018.5,39.64658,-1,0.109226553
506.91,10.78107,1,0.761072688
809.39,51.35438,-1,0.845840514
744.49,46.31799,-1,0.30320893
696.54,27.44982,1,0.14415378
993.81,40.49247,1,0.300979762
782.93,49.92377,-1,0.481757182
931.42,47.948,-1,0.328763515
767.07,48.22909,-1,0.512598165
595.27,13.68441,-1,0.107721205
515.92,12.13176,1,0.363532534
1003.01,44.95606,1,0.406406593
986.07,44.75537,1,0.446511301
1010.27,43.13249,1,0.360844343
912.1,49.40066,-1,0.560330798
1018.98,40.99209,-1,0.818216921
916.44,49.74926,-1,0.89918157
992.84,36.27165,-1,0.649867169
834.91,46.00824,1,0.460594602
516.39,8.38445,-1,0.163728897
564.34,19.62001,1,0.90782962
826.24,49.76815,-1,0.835613995
738.73,46.76234,1,0.1274174
910.65,46.98534,1,0.151251022
907.27,46.92605,1,0.665224921
626.74,14.27911,-1,0.144711188
611.95,13.97423,-1,0.319989027
990.42,35.81371,-1,0.291974896
629.13,14.67921,-1,0.270802895
735.85,46.3435,1,0.439393131
922.24,47.55239,-1,0.388299633
942.05,44.165,-1,0.186522601
562.44,14.04003,-1,0.950966418
816.61,50.18443,-1,0.579955114
811.31,46.63606,1,0.613605953
897.61,48.06815,1,0.074151913
